Gene	sgRNA	eff
ADCK5	ADCK5_m145603095	1
ADCK5	ADCK5_m145603137	1
ADCK5	ADCK5_m145603170	1
ADCK5	ADCK5_m145608301	1
ADCK5	ADCK5_m145608343	1
ADCK5	ADCK5_p145597774	1
ADCK5	ADCK5_p145603106	1
ADCK5	ADCK5_p145603142	1
ADCK5	ADCK5_p145608305	1
ADCK5	ADCK5_p145608311	1
ADCY1	ADCY1_m45614206	1
ADCY1	ADCY1_m45614243	1
ADCY1	ADCY1_m45614270	1
ADCY1	ADCY1_m45614323	1
ADCY1	ADCY1_p45614127	1
ADCY1	ADCY1_p45614255	1
ADCY1	ADCY1_p45614284	1
ADCY1	ADCY1_p45614294	1
ADCY1	ADCY1_p45614309	1
ADCY1	ADCY1_p45614315	1
ADD1	ADD1_m2877698	1
ADD1	ADD1_m2877722	1
ADD1	ADD1_m2877771	1
ADD1	ADD1_m2877776	1
ADD1	ADD1_p2877627	1
ADD1	ADD1_p2877644	1
ADD1	ADD1_p2877730	1
ADD1	ADD1_p2877736	1
ADD1	ADD1_p2877743	1
ADD1	ADD1_p2877761	1
ADD3	ADD3_m111860427	1
ADD3	ADD3_m111860445	1
ADD3	ADD3_m111860450	1
ADD3	ADD3_m111860456	1
ADD3	ADD3_m111860540	1
ADD3	ADD3_p111860411	1
ADD3	ADD3_p111860500	1
ADD3	ADD3_p111860505	1
ADD3	ADD3_p111860545	1
ADD3	ADD3_p111860553	1
ADH5	ADH5_m100003154	1
ADH5	ADH5_m100003254	1
ADH5	ADH5_m100006267	1
ADH5	ADH5_m100006354	1
ADH5	ADH5_m100009841	1
ADH5	ADH5_p100002504	1
ADH5	ADH5_p100002510	1
ADH5	ADH5_p100002584	1
ADH5	ADH5_p100003219	1
ADH5	ADH5_p100003224	1
ADH7	ADH7_m100349694	1
ADH7	ADH7_m100350690	1
ADH7	ADH7_m100350735	1
ADH7	ADH7_m100350762	1
ADH7	ADH7_p100349698	1
ADH7	ADH7_p100349706	1
ADH7	ADH7_p100349757	1
ADH7	ADH7_p100350692	1
ADH7	ADH7_p100350718	1
ADH7	ADH7_p100350724	1
ADI1	ADI1_m3517677	1
ADI1	ADI1_m3523156	1
ADI1	ADI1_m3523162	1
ADI1	ADI1_m3523239	1
ADI1	ADI1_m3523246	1
ADI1	ADI1_m3523251	1
ADI1	ADI1_p3517642	1
ADI1	ADI1_p3517660	1
ADI1	ADI1_p3523164	1
ADI1	ADI1_p3523171	1
ADIRF	ADIRF_m88728302	1
ADIRF	ADIRF_m88728350	1
ADIRF	ADIRF_m88729968	1
ADIRF	ADIRF_p88728292	1
ADIRF	ADIRF_p88728315	1
ADIRF	ADIRF_p88728321	1
ADIRF	ADIRF_p88729942	1
ADIRF	ADIRF_p88729951	1
ADIRF	ADIRF_p88729975	1
ADIRF	ADIRF_p88729984	1
ADK	ADK_m75960552	1
ADK	ADK_m75960590	1
ADK	ADK_m76153995	1
ADK	ADK_m76154033	1
ADK	ADK_p75960554	1
ADK	ADK_p76074446	1
ADK	ADK_p76074475	1
ADK	ADK_p76074481	1
ADK	ADK_p76153940	1
ADK	ADK_p76154015	1
ADNP2	ADNP2_m77891006	1
ADNP2	ADNP2_p77875445	1
ADNP2	ADNP2_p77875475	1
ADNP2	ADNP2_p77875482	1
ADNP2	ADNP2_p77875499	1
ADNP2	ADNP2_p77875511	1
ADNP2	ADNP2_p77890985	1
ADNP2	ADNP2_p77891013	1
ADNP2	ADNP2_p77891042	1
ADNP2	ADNP2_p77891053	1
ADNP	ADNP_m49511043	1
ADNP	ADNP_m49518579	1
ADNP	ADNP_m49518587	1
ADNP	ADNP_m49520451	1
ADNP	ADNP_m49520507	1
ADNP	ADNP_p49510837	1
ADNP	ADNP_p49510899	1
ADNP	ADNP_p49510949	1
ADNP	ADNP_p49511011	1
ADNP	ADNP_p49520498	1
ADPRHL2	ADPRHL2_m36554512	1
ADPRHL2	ADPRHL2_m36554557	1
ADPRHL2	ADPRHL2_m36554563	1
ADPRHL2	ADPRHL2_m36554576	1
ADPRHL2	ADPRHL2_m36554620	1
ADPRHL2	ADPRHL2_p36554501	1
ADPRHL2	ADPRHL2_p36554520	1
ADPRHL2	ADPRHL2_p36554568	1
ADPRHL2	ADPRHL2_p36554580	1
ADPRHL2	ADPRHL2_p36554606	1
ADRA1A	ADRA1A_m26722399	1
ADRA1A	ADRA1A_m26722428	1
ADRA1A	ADRA1A_m26722434	1
ADRA1A	ADRA1A_m26722473	1
ADRA1A	ADRA1A_p26722329	1
ADRA1A	ADRA1A_p26722406	1
ADRA1A	ADRA1A_p26722412	1
ADRA1A	ADRA1A_p26722419	1
ADRA1A	ADRA1A_p26722438	1
ADRA1A	ADRA1A_p26722465	1
ADRA1B	ADRA1B_m159343921	1
